convo_id,train_test_val,msg_id,timestamp,text,speaker,reply_to,speaker_intention,reciever_perception,reciever,absolute_message_index,relative_message_index,year,game_score_speaker,game_score_receiver,game_score_delta,deception_quadrant
Game1-italy-germany,Train,Game1-italy-germany-0,74,Germany!,italy-Game1,,Truth,Truth,germany-Game1,74,0,1901,3,3,0,Straightforward
Game1-italy-germany,Train,Game1-italy-germany-0,74,"Just the person I want to speak with. I have a somewhat crazy idea that I’ve always wanted to try with I/G, but I’ve never actually convinced the other guy to try it. And, what’s worse, it might make you suspicious of me. ",italy-Game1,,Truth,Truth,germany-Game1,74,0,1901,3,3,0,Straightforward
Game1-italy-germany,Train,Game1-italy-germany-0,74,So...do I suggest it?,italy-Game1,,Truth,Truth,germany-Game1,74,0,1901,3,3,0,Straightforward
Game1-italy-germany,Train,Game1-italy-germany-0,74,"I’m thinking that this is a low stakes game, not a tournament or anything, and an interesting and unusual move set might make it more fun? That’s my hope anyway.",italy-Game1,,Truth,Truth,germany-Game1,74,0,1901,3,3,0,Straightforward
Game1-italy-germany,Train,Game1-italy-germany-0,74,What is your appetite like for unusual and crazy?,italy-Game1,,Truth,Truth,germany-Game1,74,0,1901,3,3,0,Straightforward
Game1-italy-germany,Train,Game1-italy-germany-1,76,"You've whet my appetite, Italy. What's the suggestion?",germany-Game1,Game1-italy-germany-0,Truth,Truth,italy-Game1,76,1,1901,3,3,0,Straightforward
Game1-italy-germany,Train,Game1-italy-germany-2,86,👍,italy-Game1,Game1-italy-germany-1,Truth,Truth,germany-Game1,86,2,1901,3,3,0,Straightforward
Game1-italy-germany,Train,Game1-italy-germany-3,87,It seems like there are a lot of ways that could go wrong...I don't see why France would see you approaching/taking Munich--while I do nothing about it--and not immediately feel skittish,germany-Game1,Game1-italy-germany-2,Truth,Truth,italy-Game1,87,3,1901,3,3,0,Straightforward
Game1-italy-germany,Train,Game1-italy-germany-7,117,"Sorry Italy I've been away doing, um, German things. Brewing Lagers?",germany-Game1,Game1-italy-germany-6,Truth,Truth,italy-Game1,117,7,1901,3,3,0,Straightforward
Game1-italy-germany,Train,Game1-italy-germany-8,119,"I don't think I'm ready to go for that idea, however I'd be down for some good ol'-fashioned Austria-kicking?",germany-Game1,Game1-italy-germany-7,Truth,Lie,italy-Game1,119,8,1901,3,3,0,Cassandra
Game1-italy-germany,Train,Game1-italy-germany-9,121,I am pretty conflicted about whether to guess that you were telling the truth or lying about the “brewing lagers” thing. I am going to take it literally and say 👎 even though I don’t think you meant it deceptively. 😉,italy-Game1,Game1-italy-germany-8,Truth,Truth,germany-Game1,121,9,1901,3,3,0,Straightforward
Game1-italy-germany,Train,Game1-italy-germany-10,123,But I think I can get over “Lagergate” and we can still be friends. ,italy-Game1,Game1-italy-germany-9,Truth,Truth,germany-Game1,123,10,1901,3,3,0,Straightforward
Game1-italy-germany,Train,Game1-italy-germany-10,123,"As of right now, I think Austria may be my most reliable ally. I’m thinking I’d like to play as a Central Trio if you have any interest in that. Thoughts?",italy-Game1,Game1-italy-germany-9,Truth,Truth,germany-Game1,123,10,1901,3,3,0,Straightforward
Game1-italy-germany,Train,Game1-italy-germany-11,124,We haven't even passed a season yet and you have a 'most reliable ally'?,germany-Game1,Game1-italy-germany-10,Truth,Truth,italy-Game1,124,11,1901,3,3,0,Straightforward
Game1-italy-germany,Train,Game1-italy-germany-11,124,"I'll consider this proposal but, basically, I'm not going to expose myself to risk from either of you until I've seen a bit of your behavior",germany-Game1,Game1-italy-germany-10,Truth,Truth,italy-Game1,124,11,1901,3,3,0,Straightforward
Game1-italy-germany,Train,Game1-italy-germany-12,132,"Well, at least I have an idea of who to trust. Obviously, my ideas are subject to change. ",italy-Game1,Game1-italy-germany-11,Truth,Truth,germany-Game1,132,12,1901,3,3,0,Straightforward
Game1-italy-germany,Train,Game1-italy-germany-12,132,"I understand your desire to watch behavior before committing to anything. I, personally, am a partner player. I look carefully early in the game for a small group to work with, and then I value loyalty and collaboration. I like to work closely with a tight-knit alliance. ",italy-Game1,Game1-italy-germany-11,Truth,Truth,germany-Game1,132,12,1901,3,3,0,Straightforward
Game1-italy-germany,Train,Game1-italy-germany-12,132,"If you prefer to hop and back and forth, or play more of an individual game, then we might not be a good match. ",italy-Game1,Game1-italy-germany-11,Truth,Truth,germany-Game1,132,12,1901,3,3,0,Straightforward
Game1-italy-germany,Train,Game1-italy-germany-12,132,I’m looking for a loyal ally or two that I can coordinate with and make awesome moves with. Makes the game easier and a lot more fun.,italy-Game1,Game1-italy-germany-11,Truth,Truth,germany-Game1,132,12,1901,3,3,0,Straightforward
